,species_id,name,flavor_text
41,42,Golbat,"Golbat bites down on prey with its four fangs and drinks
the victim’s blood. It becomes active on inky dark
moonless nights, flying around to attack people and Pokémon."
42,43,Oddish,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees."
43,44,Gloom,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey."
44,45,Vileplume,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them."
45,46,Paras,"Paras has parasitic mushrooms growing on its back called
tochukaso. They grow large by drawing nutrients from this
Bug Pokémon host. They are highly valued as a medicine
for extending life."
46,47,Parasect,"Parasect is known to infest large trees en masse and drain
nutrients from the lower trunk and roots. When an infested
tree dies, they move onto another tree all at once."
47,48,Venonat,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey."
48,49,Venomoth,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness."
49,50,Diglett,"Diglett are raised in most farms. The reason is simple—
wherever this Pokémon burrows, the soil is left perfectly tilled
for planting crops. This soil is made ideal for growing
delicious vegetables."
50,51,Dugtrio,"Dugtrio are actually triplets that emerged from one body.
As a result, each triplet thinks exactly like the other two
triplets. They work cooperatively to burrow endlessly."
51,52,Meowth,"Meowth withdraws its sharp claws into its paws to slinkily sneak
about without making any incriminating footsteps. For some
reason, this Pokémon loves shiny coins that glitter with light."
52,53,Persian,"Persian has six bold whiskers that give it a look of toughness.
The whiskers sense air movements to determine what is in the
Pokémon’s surrounding vicinity. It becomes docile if grabbed
by the whiskers."
53,54,Psyduck,"If it uses its mysterious power, Psyduck can’t remember
having done so. It apparently can’t form a memory of such
an event because it goes into an altered state that is much
like deep sleep."
54,55,Golduck,"Golduck is the fastest swimmer among all Pokémon. It swims
effortlessly, even in a rough, stormy sea. It sometimes rescues
people from wrecked ships floundering in high seas."
55,56,Mankey,"When Mankey starts shaking and its nasal breathing turns
rough, it’s a sure sign that it is becoming angry. However,
because it goes into a towering rage almost instantly,
it is impossible for anyone to flee its wrath."
56,57,Primeape,"When Primeape becomes furious, its blood circulation
is boosted. In turn, its muscles are made even stronger.
However, it also becomes much less intelligent at the
same time."
57,58,Growlithe,"Growlithe has a superb sense of smell. Once it smells anything,
this Pokémon won’t forget the scent, no matter what. It uses
its advanced olfactory sense to determine the emotions of
other living things."
58,59,Arcanine,"Arcanine is known for its high speed. It is said to be capable
of running over 6,200 miles in a single day and night. The
fire that blazes wildly within this Pokémon’s body is its source
of power."
59,60,Poliwag,"Poliwag has a very thin skin. It is possible to see the
Pokémon’s spiral innards right through the skin. Despite its
thinness, however, the skin is also very flexible. Even sharp
fangs bounce right off it."
60,61,Poliwhirl,"The surface of Poliwhirl’s body is always wet and slick with
a slimy fluid. Because of this slippery covering, it can easily
slip and slide out of the clutches of any enemy in battle."
61,62,Poliwrath,"Poliwrath’s highly developed, brawny muscles never grow
fatigued, however much it exercises. It is so tirelessly strong,
this Pokémon can swim back and forth across the ocean
without effort."
62,63,Abra,"Abra needs to sleep for eighteen hours a day. If it doesn’t,
this Pokémon loses its ability to use telekinetic powers. If it is
attacked, Abra escapes using Teleport while it is still sleeping."
63,64,Kadabra,"Kadabra holds a silver spoon in its hand. The spoon is used
to amplify the alpha waves in its brain. Without the spoon, the
Pokémon is said to be limited to half the usual amount of its
telekinetic powers."
64,65,Alakazam,"Alakazam’s brain continually grows, infinitely multiplying
brain cells. This amazing brain gives this Pokémon an
astoundingly high IQ of 5,000. It has a thorough memory
of everything that has occurred in the world."
65,66,Machop,"Machop exercises by hefting around a Graveler as if it were
a barbell. There are some Machop that travel the world in a
quest to master all kinds of martial arts."
66,67,Machoke,"Machoke undertakes bodybuilding every day even as
it helps people with tough, physically demanding labor.
On its days off, this Pokémon heads to the fields and
mountains to exercise and train."
67,68,Machamp,"Machamp is known as the Pokémon that has mastered
every kind of martial arts. If it grabs hold of the foe with its
four arms, the battle is all but over. The hapless foe is thrown
far over the horizon."
68,69,Bellsprout,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron."
69,70,Weepinbell,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground."
70,71,Victreebel,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole."
71,72,Tentacool,"Tentacool absorbs sunlight and refracts it using water inside
its body to convert it into beam energy. This Pokémon shoots
beams from the small round organ above its eyes."
72,73,Tentacruel,"Tentacruel has tentacles that can be freely elongated
and shortened at will. It ensnares prey with its tentacles
and weakens the prey by dosing it with a harsh toxin.
It can catch up to 80 prey at the same time."
73,74,Geodude,"When Geodude sleeps deeply, it buries itself halfway into the
ground. It will not awaken even if hikers step on it unwittingly.
In the morning, this Pokémon rolls downhill in search of food."
74,75,Graveler,"Rocks are Graveler’s favorite food. This Pokémon will climb a
mountain from the base to the summit, crunchingly feasting on
rocks all the while. Upon reaching the peak, it rolls back down
to the bottom."
75,76,Golem,"Golem is known for rolling down from mountains. To prevent
them from rolling into the homes of people downhill, grooves
have been dug into the sides of mountains to serve as
guideways for diverting this Pokémon’s course."
76,77,Ponyta,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent."
77,78,Rapidash,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph."
78,79,Slowpoke,"Slowpoke uses its tail to catch prey by dipping it in water
at the side of a river. However, this Pokémon often forgets
what it’s doing and often spends entire days just loafing
at water’s edge."
79,80,Slowbro,"Slowbro’s tail has a Shellder firmly attached with a bite.
As a result, the tail can’t be used for fishing anymore. This
causes Slowbro to grudgingly swim and catch prey instead."
80,81,Magnemite,"Magnemite floats in the air by emitting electromagnetic waves
from the units at its sides. These waves block gravity. This
Pokémon becomes incapable of flight if its internal electrical
supply is depleted."
81,82,Magneton,"Magneton emits a powerful magnetic force that is fatal to
electronics and precision instruments. Because of this, it is
said that some towns warn people to keep this Pokémon
inside a Poké Ball."
82,83,Farfetch'd,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks."
83,84,Doduo,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains."
84,85,Dodrio,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest."
85,86,Seel,"Seel hunts for prey in the frigid sea underneath sheets of ice.
When it needs to breathe, it punches a hole through the ice
with the sharply protruding section of its head."
86,87,Dewgong,"Dewgong loves to snooze on bitterly cold ice. The sight of
this Pokémon sleeping on a glacier was mistakenly thought
to be a mermaid by a mariner long ago."
87,88,Grimer,"Grimer emerged from the sludge that settled on a polluted
seabed. This Pokémon loves anything filthy. It constantly
leaks a horribly germ-infested fluid from all over its body."
88,89,Muk,"This Pokémon’s favorite food is anything that is repugnantly
filthy. In dirty towns where people think nothing of throwing
away litter on the streets, Muk are certain to gather."
89,90,Shellder,"At night, this Pokémon uses its broad tongue to burrow a hole
in the seafloor sand and then sleep in it. While it is sleeping,
Shellder closes its shell, but leaves its tongue hanging out."
90,91,Cloyster,"Cloyster is capable of swimming in the sea. It does so by
swallowing water, then jetting it out toward the rear. This
Pokémon shoots spikes from its shell using the same system."
91,92,Gastly,"Gastly is largely composed of gaseous matter. When exposed
to a strong wind, the gaseous body quickly dwindles away.
Groups of this Pokémon cluster under the eaves of houses to
escape the ravages of wind."
92,93,Haunter,"Haunter is a dangerous Pokémon. If one beckons you while
floating in darkness, you must never approach it. This Pokémon
will try to lick you with its tongue and steal your life away."
93,94,Gengar,"Sometimes, on a dark night, your shadow thrown by a
streetlight will suddenly and startlingly overtake you.
It is actually a Gengar running past you, pretending to be
your shadow."
94,95,Onix,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother."
95,96,Drowzee,"If your nose becomes itchy while you are sleeping, it’s a sure
sign that one of these Pokémon is standing above your pillow
and trying to eat your dream through your nostrils."
96,97,Hypno,"Hypno holds a pendulum in its hand. The arcing movement and
glitter of the pendulum lull the foe into a deep state of
hypnosis. While this Pokémon searches for prey, it polishes
the pendulum."
97,98,Krabby,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory."
98,99,Kingler,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires."
99,100,Voltorb,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy."
100,101,Electrode,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated."
101,102,Exeggcute,"This Pokémon consists of six eggs that form a closely knit
cluster. The six eggs attract each other and spin around.
When cracks increasingly appear on the eggs, Exeggcute is
close to evolution."
102,103,Exeggutor,"Exeggutor originally came from the tropics. Its heads
steadily grow larger from exposure to strong sunlight. It is
said that when the heads fall off, they group together to
form Exeggcute."
103,104,Cubone,"Cubone pines for the mother it will never see again. Seeing a
likeness of its mother in the full moon, it cries. The stains on
the skull the Pokémon wears are made by the tears it sheds."
104,105,Marowak,"Marowak is the evolved form of a Cubone that has overcome
its sadness at the loss of its mother and grown tough. This
Pokémon’s tempered and hardened spirit is not easily broken."
105,106,Hitmonlee,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue."
106,107,Hitmonchan,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity."
107,108,Lickitung,"Whenever Lickitung comes across something new, it will
unfailingly give it a lick. It does so because it memorizes things
by texture and by taste. It is somewhat put off by sour things."
108,109,Koffing,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon."
109,110,Weezing,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid."
110,111,Rhyhorn,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something."
111,112,Rhydon,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat."
112,113,Chansey,"Chansey lays nutritionally excellent eggs on an everyday basis.
The eggs are so delicious, they are easily and eagerly
devoured by even those people who have lost their appetite."
113,114,Tangela,"Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day."
114,115,Kangaskhan,"If you come across a young Kangaskhan playing by itself,
you must never disturb it or attempt to catch it. The baby
Pokémon’s parent is sure to be in the area, and it will
become violently enraged at you."
115,116,Horsea,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back."
116,117,Seadra,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole."
117,118,Goldeen,"Goldeen loves swimming wild and free in rivers and ponds.
If one of these Pokémon is placed in an aquarium, it will
shatter even the thickest glass with one ram of its horn
and make its escape."
118,119,Seaking,"Seaking is very protective of its eggs. The male and female
will take turns patrolling around their nest and eggs. The
guarding of eggs by these Pokémon goes on for over a month."
119,120,Staryu,"Staryu apparently communicates with the stars in the night sky
by flashing the red core at the center of its body. If parts of its
body are torn, this Pokémon simply regenerates the missing
pieces and limbs."
120,121,Starmie,"Starmie swims through water by spinning its star-shaped
body as if it were a propeller on a ship. The core at the
center of this Pokémon’s body glows in seven colors."
121,122,Mr. Mime,"Mr. Mime is a master of pantomime. Its gestures and motions
convince watchers that something unseeable actually exists.
Once the watchers are convinced, the unseeable thing exists
as if it were real."
122,123,Scyther,"Scyther is blindingly fast. Its blazing speed enhances the
effectiveness of the twin scythes on its forearms. This
Pokémon’s scythes are so effective, they can slice through
thick logs in one wicked stroke."
123,124,Jynx,"Jynx walks rhythmically, swaying and shaking its hips
as if it were dancing. Its motions are so bouncingly alluring,
people seeing it are compelled to shake their hips without
giving any thought to what they are doing."
124,125,Electabuzz,"When a storm arrives, gangs of this Pokémon compete with
each other to scale heights that are likely to be stricken by
lightning bolts. Some towns use Electabuzz in place of
lightning rods."
125,126,Magmar,"In battle, Magmar blows out intensely hot flames from
all over its body to intimidate its opponent. This Pokémon’s
fiery bursts create heat waves that ignite grass and trees in
its surroundings."
126,127,Pinsir,"Pinsir has a pair of massive horns. Protruding from the surface
of these horns are thorns. These thorns are driven deeply into
the foe’s body when the pincer closes, making it tough for the
foe to escape."
127,128,Tauros,"This Pokémon is not satisfied unless it is rampaging at all
times. If there is no opponent for Tauros to battle, it will
charge at thick trees and knock them down to calm itself."
128,129,Magikarp,"Magikarp is virtually useless in battle as it can only splash
around. As a result, it is considered to be weak. However,
it is actually a very hardy Pokémon that can survive in any
body of water no matter how polluted it is."
129,130,Gyarados,"Once Gyarados goes on a rampage, its ferociously violent
blood doesn’t calm until it has burned everything down.
There are records of this Pokémon’s rampages lasting a
whole month."
130,131,Lapras,"People have driven Lapras almost to the point of extinction.
In the evenings, this Pokémon is said to sing plaintively as
it seeks what few others of its kind still remain."
131,132,Ditto,"Ditto rearranges its cell structure to transform itself into other
shapes. However, if it tries to transform itself into something
by relying on its memory, this Pokémon manages to get
details wrong."
132,133,Eevee,"Eevee has an unstable genetic makeup that suddenly mutates
due to the environment in which it lives. Radiation from various
stones causes this Pokémon to evolve."
133,134,Vaporeon,"Vaporeon underwent a spontaneous mutation and grew fins
and gills that allow it to live underwater. This Pokémon has
the ability to freely control water."
134,135,Jolteon,"Jolteon’s cells generate a low level of electricity. This power
is amplified by the static electricity of its fur, enabling the
Pokémon to drop thunderbolts. The bristling fur is made of
electrically charged needles."
135,136,Flareon,"Flareon’s fluffy fur has a functional purpose—it releases heat
into the air so that its body does not get excessively hot.
This Pokémon’s body temperature can rise to a maximum of
1,650 degrees Fahrenheit."
136,137,Porygon,"Porygon is capable of reverting itself entirely back to program
data and entering cyberspace. This Pokémon is copy protected
so it cannot be duplicated by copying."
137,138,Omanyte,"Omanyte is one of the ancient and long-since-extinct Pokémon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
138,139,Omastar,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
139,140,Kabuto,"Kabuto is a Pokémon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokémon has not changed at all for
300 million years."
140,141,Kabutops,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokémon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
141,142,Aerodactyl,"Aerodactyl is a Pokémon from the age of dinosaurs. It was
regenerated from genetic material extracted from amber. It is
imagined to have been the king of the skies in ancient times."
142,143,Snorlax,"Snorlax’s typical day consists of nothing more than eating and
sleeping. It is such a docile Pokémon that there are children
who use its expansive belly as a place to play."
143,144,Articuno,"Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall."
144,145,Zapdos,"Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts."
145,146,Moltres,"Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
146,147,Dratini,"Dratini continually molts and sloughs off its old skin. It does so
because the life energy within its body steadily builds to reach
uncontrollable levels."
147,148,Dragonair,"Dragonair stores an enormous amount of energy inside
its body. It is said to alter weather conditions in its vicinity
by discharging energy from the crystals on its neck and tail."
148,149,Dragonite,"Dragonite is capable of circling the globe in just 16 hours.
It is a kindhearted Pokémon that leads lost and foundering
ships in a storm to the safety of land."
149,150,Mewtwo,"Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart."
150,151,Mew,"Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
151,152,Chikorita,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around."
152,153,Bayleef,"Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
153,154,Meganium,"The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit."
154,155,Cyndaquil,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
155,156,Quilava,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
156,157,Typhlosion,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders."
157,158,Totodile,"Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
158,159,Croconaw,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
159,160,Feraligatr,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
160,161,Sentret,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear."
161,162,Furret,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokémon is very nimble and fleet."
162,163,Hoothoot,"Hoothoot has an internal organ that senses and tracks the
earth’s rotation. Using this special organ, this Pokémon
begins hooting at precisely the same time every day."
163,164,Noctowl,"Noctowl never fails at catching prey in darkness. This Pokémon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
164,165,Ledyba,"Ledyba secretes an aromatic fluid from where its legs join its
body. This fluid is used for communicating with others.
This Pokémon conveys its feelings to others by altering the
fluid’s scent."
165,166,Ledian,"It is said that in lands with clean air, where the stars fill the
sky, there live Ledian in countless numbers. There is a good
reason for this—the Pokémon uses the light of the stars as
its energy."
166,167,Spinarak,"The web spun by Spinarak can be considered its second
nervous system. It is said that this Pokémon can determine
what kind of prey is touching its web just by the tiny vibrations
it feels through the web’s strands."
167,168,Ariados,"Ariados’s feet are tipped with tiny hooked claws that enable it
to scuttle on ceilings and vertical walls. This Pokémon
constricts the foe with thin and strong silk webbing."
168,169,Crobat,"Crobat sneaks up on its intended prey using wings that barely
make a sound. This Pokémon rests by hanging on a tree
branch with its rear legs that serve as wings."
169,170,Chinchou,"Chinchou’s two antennas are filled with cells that generate
strong electricity. This Pokémon’s cells create so much
electrical power, it even makes itself tingle slightly."
170,171,Lanturn,"Lanturn is known to emit light. If you peer down into the dark
sea from a ship at night, you can sometimes see this
Pokémon’s light rising from the depths where it swims. It gives
the sea an appearance of a starlit night."
171,172,Pichu,"When Pichu plays with others, it may short out electricity with
another Pichu, creating a shower of sparks. In that event, this
Pokémon will begin crying, startled by the flash of sparks."
172,173,Cleffa,"On nights with many shooting stars, Cleffa can be seen
dancing in a ring. They dance through the night and stop only
at the break of day, when these Pokémon quench their thirst
with the morning dew."
173,174,Igglybuff,"Igglybuff has a soft and plushy body that feels very much like
a marshmallow. From this body wafts a gently sweet fragrance
that soothes and calms the emotions of its foes."
174,175,Togepi,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokémon.
This Pokémon stores up feelings of happiness inside its shell,
then shares them with others."
175,176,Togetic,"Togetic is said to be a Pokémon that brings good fortune.
When the Pokémon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
176,177,Natu,"Natu has a highly developed jumping ability. The Pokémon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree’s new shoots."
177,178,Xatu,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokémon out of
their belief that Xatu is in possession of the power to see into
the future."
178,179,Mareep,"Mareep’s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
